hcp_id,norm_email_delivered,norm_email_open_rate,norm_email_click_rate,norm_email_ctor,norm_email_recency,norm_web_content_views,norm_web_download_rate,norm_video_completion_rate,norm_avg_session_duration,norm_web_recency,norm_completed_interactions,norm_veeva_completion_rate,norm_veeva_duration,norm_veeva_recency,norm_event_attendance,norm_event_attendance_rate,norm_event_duration,norm_event_questions,norm_event_polls,norm_event_recency
HCP0001,0.2432432432432432,0.74166979,0.45163097,0.51507253,0.991735537190,0.2380952380952381,0.31820000,0E-8,0.5633219096198295,1.000000000000,0.7692307692307692,0.909091,0.2559264634736333,0.995555555556,0.2000000000000000,1.00000000,0.27631578947368424,0.05555555555555555,0.1,0.805429864253
HCP0002,0.8918918918918919,0.28715837,0.22903542,0.53683137,1.000000000000,0.1428571428571429,0.35715000,1.00000000,0.5241491990117161,0.861111111111,0.3846153846153846,1.000000,0.2097242380261248,0.857777777778,0.3000000000000000,1.00000000,0.39184210526315794,0.16666666666666666,0.1,0.710407239819
HCP0003,0.8918918918918919,0.65019344,0.33095338,0.42089755,0.950413223140,0.3809523809523810,0.23530000,1.00000000,0.8515581413883797,0.902777777778,0.1538461538461538,0.500000,0.46371552975326563,0.826666666667,0.2000000000000000,0.50000000,0.3815789473684211,0.0,0.0,0.936651583710
HCP0004,0.7837837837837838,0.68800699,0.35685286,0.43336355,0.983471074380,0.2857142857142857,0.23075000,1.00000000,0.30569060333147363,0.993055555556,0.3846153846153846,0.833333,0.5684567005321722,0.888888888889,0.2000000000000000,1.00000000,0.4780701754385965,0.0,0.0,0.968325791855
HCP0005,0.3783783783783784,0.58392612,0.23337533,0.32377607,0.983471074380,0.1190476190476190,0.25000000,0E-8,0.2949310592173428,0.937500000000,0.2307692307692308,0.750000,0.409288824383164,0.364444444444,0E-16,0E-8,0.0,0.0,0.0,0E-12
HCP0006,0.3783783783783784,0.44527643,0.31107378,0.53331822,1.000000000000,0.2619047619047619,0.20835000,0.50000000,0.42563959512233995,0.944444444444,0.5384615384615385,1.000000,0.8006773101112723,0.888888888889,0.1000000000000000,0.50000000,0.5614035087719298,0.1111111111111111,0.0,0.968325791855
HCP0007,0.4324324324324324,0.54561338,0.11045779,0.16194470,1.000000000000,0.2380952380952381,0.27275000,0E-8,0.5482983980234318,0.777777777778,0.1538461538461538,1.000000,0.4879051765844219,0.333333333333,0.4000000000000000,0.50000000,0.4276315789473684,0.16666666666666666,0.2,0.868778280543
HCP0008,0.7297297297297297,0.54361662,0.34285314,0.50362647,0.925619834711,0.5000000000000000,0.18180000,0.25000000,0.5264605084880849,0.937500000000,0.3076923076923077,1.000000,0.6390904692791485,0.960000000000,0.4000000000000000,0.80000000,0.4144736842105263,0.1111111111111111,0.1,0.936651583710
HCP0009,0.7567567567567568,0.25533508,0.08399832,0.21248867,0.909090909091,0.2619047619047619,0.08335000,0E-8,0.3959113732366303,0.965277777778,0.3076923076923077,1.000000,0.5786163522012578,0.613333333333,0.2000000000000000,1.00000000,0.5175438596491229,0.0,0.0,0.452488687783
HCP0010,0.2972972972972973,0.42318732,0.25451491,0.45330916,0.685950413223,0.4761904761904762,0.21430000,0.60000000,0.3749900374591536,0.923611111111,0.3846153846153846,1.000000,0.5145137880986937,0.928888888889,0.1000000000000000,1.00000000,0.21929824561403508,0.1111111111111111,0.2,0.868778280543
